program,version,task_clock_ms,cpus_utilized,context_switches,cpu_migrations,page_faults,instructions,ipc,cycles,ghz,branches,branch_misses,branch_misses_percent,tma_backend_bound,tma_bad_speculation,tma_frontend_bound,tma_retiring,time_elapsed_s,user_s,sys_s
gemm,default_x86,40.473333333333336,0.958,6.0,1.0,1193.6666666666667,114302368.0,2.013333333333333,56732398.333333336,1.4036666666666666,19898886.333333332,379777.6666666667,1.91,14.266666666666667,14.6,30.366666666666667,40.7,0.04223975966666667,0.033442,0.008440333333333334
gemm,o2_x86,39.88,0.963,6.0,0.0,1195.3333333333333,104565356.0,1.91,54777780.0,1.3743333333333334,19815802.0,379913.6666666667,1.9166666666666665,13.8,15.666666666666666,32.233333333333334,38.4,0.041417801,0.03303933333333333,0.008211333333333333
gemm,o3_x86,43.443333333333335,0.9583333333333333,9.333333333333334,0.6666666666666666,1191.6666666666667,104586164.0,1.8566666666666667,56414173.333333336,1.302,19820357.333333332,382574.6666666667,1.93,14.566666666666666,15.133333333333333,32.43333333333333,37.86666666666667,0.04535647266666667,0.035665,0.009193666666666668
gemm,riscv_base,34.91666666666667,0.9463333333333332,4.333333333333333,0.6666666666666666,1074.3333333333333,95317802.33333333,2.04,46818624.666666664,1.3436666666666666,16935334.0,277050.0,1.6366666666666667,14.866666666666667,13.633333333333333,29.6,41.9,0.03691497966666667,0.027753,0.008603333333333334
gemm,riscv_o2,31.006666666666668,0.948,5.666666666666667,0.3333333333333333,1076.6666666666667,86135847.66666667,2.023333333333333,42599873.0,1.3743333333333334,16069224.333333334,271326.0,1.69,15.3,14.3,30.5,39.9,0.032713050333333334,0.025150333333333334,0.007249666666666667
gemm,riscv_o3,31.34,0.9453333333333332,5.333333333333333,0.0,1072.6666666666667,86134672.0,2.063333333333333,41757630.666666664,1.3326666666666667,16068373.0,269884.3333333333,1.68,15.833333333333334,14.4,29.766666666666666,40.0,0.033154874,0.026763666666666668,0.006048666666666667
gemm,riscv_unroll,30.28,0.9506666666666667,8.666666666666666,1.0,1076.0,85084987.0,2.02,42143059.0,1.4060000000000001,15781626.666666666,272857.6666666667,1.73,15.5,15.566666666666666,29.733333333333334,39.2,0.031865020333333334,0.023266333333333333,0.008313333333333332
atax,default_x86,37.71333333333333,0.9646666666666667,4.0,0.0,1182.3333333333333,83527487.33333333,1.66,50262753.0,1.333,15963352.0,378659.3333333333,2.3733333333333335,14.933333333333334,16.633333333333333,34.0,34.4,0.03909368133333333,0.030948000000000003,0.007999333333333332
atax,o2_x86,37.343333333333334,0.9563333333333333,6.666666666666667,0.3333333333333333,1182.0,82331377.0,1.6266666666666667,50715604.0,1.3583333333333334,15795753.0,379296.0,2.4033333333333333,15.533333333333333,17.133333333333333,33.36666666666667,33.96666666666667,0.039046328666666665,0.03152033333333333,0.007291666666666667
atax,o3_x86,38.21333333333333,0.939,9.333333333333334,1.6666666666666667,1183.6666666666667,82343603.0,1.6466666666666667,49960589.0,1.3073333333333335,15797528.0,380010.3333333333,2.4033333333333333,15.0,17.133333333333333,34.43333333333333,33.43333333333333,0.040699064,0.032169333333333335,0.007497333333333334
